Titre,Lien,Image,Description
Le MENFP sensibilise à la production de statistiques sur l'éducation,https://lenouvelliste.com/article/246408/le-menfp-sensibilise-a-la-production-de-statistiques-sur-leducation,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0038_1141.jpg,"Le ministère de l’Éducation nationale et de la formation professionnelle (MENFP) de concert avec l’Organisation des Nations unies pour l’éducation, la science et la culture (UNESCO) a procédé à l’ouverture d’un atelier de trois jours sur l’importance des données du système d’information de gestion de l'éducation (SIGE). L’ouverture officielle a eu lieu le mercredi 17 janvier 2024 à l'hôtel Montana en présence du représentant du ministre de l’Éducation nationale, Auguste D’meza et de la représentante de l’UNESCO, Tatiana Villegas-Zamora."
MMAS:  les policiers kenyans complètent leur formation et attendent la décision du tribunal de Nairobi,https://lenouvelliste.com/article/246420/mmas-les-policiers-kenyans-completent-leur-formation-et-attendent-la-decision-du-tribunal-de-nairobi,https://media.lenouvelliste.com/articles/2023-10-25/Screenshot20231024-175315Chrome_3516.jpg,"

Les policiers kényans qui doivent être déployés en Haïti ont terminé leur formation sont prêts à être déployés en Haïti."
Le Collège haïtien de cardiologie appelle à la libération du Dr Douglas Pape,https://lenouvelliste.com/article/246400/le-college-haitien-de-cardiologie-appelle-a-la-liberation-du-dr-douglas-pape,https://media.lenouvelliste.com/articles/2021-08-11/LogoNouvelliste6950_9614.jpg,"Dans une note de presse, le Collège haïtien de cardiologie  appelle à la libération du Dr Douglas Pape enlevé depuis novembre 2023. Malgré trois rançons versées par la famille, la victime n'est toujours pas libérée."
Tifane : « Je suis toujours très engagée dans le monde musical »,https://lenouvelliste.com/article/246416/tifane-je-suis-toujours-tres-engagee-dans-le-monde-musical,https://media.lenouvelliste.com/articles/2024-01-19/C16BE1CC-F520-4221-BAA1-F111455635E3_4167.jpeg,"Si l’on vous parle des titres comme « Sekrè a », de « Bèl Moun » ou encore de « Se kòmsi »… Qui est-ce qui vous vient à l’esprit? Effectivement, c’est bien elle. Tifane. La chanteuse, dont la carrière a été officialisée en 2005, évolue encore dans le monde musical. Bien qu'elle ait été absente des scènes en Haïti pendant de nombreuses années, elle est en revanche présente aux États-Unis, au Canada, en France ou en Afrique. De plus, elle annonce pour bientôt la sortie d’une musique videoclippée suivie d’un nouvel opus, un extended-Play. Ticket vous donne des nouvelles de la « Fanm kreyòl »."
L’OEA exclut toute possibilité d’une « transition dans la transition » et souhaite un accord national,https://lenouvelliste.com/article/246405/loea-exclut-toute-possibilite-dune-transition-dans-la-transition-et-souhaite-un-accord-national,https://media.lenouvelliste.com/articles/2021-08-11/LogoNouvelliste6950_9614.jpg,"La 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti convoquée par la secrétaire générale de l’OIF a été l’occasion de débattre des perspectives pour une sortie de crise. Présent à cette réunion qui s’est tenue au pavillon d’Armenonville de Paris, Cristobal Dupouy, représentant spécial du secrétaire général de l’Organisation des États américains (OEA) en Haïti a présenté l’analyse et les perspectives de l’OEA pour une résolution de la crise en Haïti."
"Attaques armées et images de peyi lòk à Port-au-Prince, manifestations en province",https://lenouvelliste.com/article/246403/attaques-armees-et-images-de-peyi-lok-a-port-au-prince-manifestations-en-province,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0014_8173.jpg,"

Port-au-Prince s’est réveillée sous tension ce jeudi 18 janvier 2024."
"La péninsule du Sud au bord d’une crise humanitaire, témoignage d’un entrepreneur",https://lenouvelliste.com/article/246383/la-peninsule-du-sud-au-bord-dune-crise-humanitaire-temoignage-dun-entrepreneur,https://media.lenouvelliste.com/articles/2021-05-31/logoLeNouvelliste_9479.jpg,La situation de la péninsule du Sud est compliquée depuis quelques années.
Le gouvernement au chevet de la BSAP,https://lenouvelliste.com/article/246384/le-gouvernement-au-chevet-de-la-bsap,https://media.lenouvelliste.com/articles/2024-01-17/IMG0304_2831.jpeg,"La Brigade de sécurité des aires protégées (BSAP) est une structure de l’Agence nationale des aires protégées, une direction générale autonome au ministère de l’Environnement. Depuis plusieurs années, la BSAP sort de son champ d’action de protection des aires protégées pour se transformer en un groupe armé au service de politiques. De 100 agents en 2018, cette structure est passée aujourd’hui à un effectif que même le gouvernement ignore..."
"Pas de discussions réelles en vue de la sortie de crise, le Collectif du 30 janvier dénonce une campagne de propagande du pouvoir",https://lenouvelliste.com/article/246409/pas-de-discussions-reelles-en-vue-de-la-sortie-de-crise-le-collectif-du-30-janvier-denonce-une-campagne-de-propagande-du-pouvoir,https://media.lenouvelliste.com/articles/2024-01-18/Screenshot20240117214504Gallery_9267.jpg,"

À 21 jours du 7 février 2024, date de la transmission du pouvoir à des élus, selon les termes de l’accord du 21 décembre 2022, il n’y a toujours pas d’initiatives concrètes pouvant permettre d’aboutir à un dégel de la crise haïtienne."
Les États-Unis et le BINUH présentent le bilan de leur participation à la réunion de l’OIF,https://lenouvelliste.com/article/246411/les-etats-unis-et-le-binuh-presentent-le-bilan-de-leur-participation-a-la-reunion-de-loif,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0046_6923.jpg,"Des acteurs clés intéressés par la résolution de la crise haïtienne ont participé, le jeudi 18 janvier 2024, à Paris, à la réunion du Comité ad hoc consultatif restreint sur la situation haïtienne convoquée par la secrétaire générale de l’Organisation internationale de la Francophonie (OIF). Lors de cette importante rencontre, plusieurs de ces acteurs ont présenté leur vision de la crise et des mécanismes à mettre en œuvre pour aider les Haïtiens à trouver une issue."
